Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Ana Cecília,SSTV-KU20-0000000000000005794705,Samsung CE 2020 Kant-S2 UHD TV Smart TV,2021-04-07T22:45:08.736Z,2023-05-02T01:10:50.145Z,2021-05-02T17:02:01.228Z,2023-05-02T01:10:50.145Z,2021-05-09T16:13:02.163Z,2023-04-26T14:28:54.655Z,2021-05-09T16:22:35.428Z,2023-04-26T14:28:54.655Z,
joão paulo,SSTV-KUE2-0000000000000002998462,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,2022-08-20T21:40:56.115Z,2023-04-13T04:06:38.878Z,2022-08-20T21:41:28.256Z,2023-04-13T04:03:28.967Z,2022-08-20T21:40:56.115Z,2023-04-13T04:06:38.878Z,2022-08-20T21:41:28.256Z,2023-04-13T04:03:28.967Z,
Ana Cecília,SSTV-KUE2-0000000000000002998462,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,2022-08-20T21:40:56.115Z,2023-04-13T04:06:38.878Z,2022-08-20T21:41:28.256Z,2023-04-13T04:03:28.967Z,2022-09-03T23:20:08.788Z,2023-04-06T15:16:07.912Z,2022-09-03T23:32:50.534Z,2023-04-06T15:16:07.912Z,
Ana Cecília,NFAPPL-02-IPHONE11=8-337FCE214DFB23F1C3F24816644FE8396B22A7160499D1DC7645D4599D978DEC,Apple iPhone XR,2021-07-20T22:48:30.152Z,2023-04-03T15:52:58.880Z,2021-07-22T01:07:35.236Z,2023-04-03T15:52:58.880Z,2021-07-20T22:48:30.152Z,2023-04-03T15:52:58.880Z,2021-07-22T01:07:35.236Z,2023-04-03T15:52:58.880Z,
joão paulo,SSTV-KU20-0000000000000005794705,Samsung CE 2020 Kant-S2 UHD TV Smart TV,2021-04-07T22:45:08.736Z,2023-05-02T01:10:50.145Z,2021-05-02T17:02:01.228Z,2023-05-02T01:10:50.145Z,2022-04-16T16:12:11.904Z,2023-03-16T00:18:43.083Z,2022-04-16T16:13:30.832Z,2023-03-16T00:18:43.083Z,
pedro henrique,SSTV-KU20-0000000000000005794705,Samsung CE 2020 Kant-S2 UHD TV Smart TV,2021-04-07T22:45:08.736Z,2023-05-02T01:10:50.145Z,2021-05-02T17:02:01.228Z,2023-05-02T01:10:50.145Z,2021-04-07T22:45:08.736Z,2023-03-05T21:00:58.196Z,2021-05-02T17:02:01.228Z,2023-03-05T03:07:20.508Z,
pedro henrique,SSTV-NM21-0000000000000003582328,Samsung CE 2021 Nike-M2 UHD TV Smart TV,2022-02-28T23:38:07.980Z,2023-03-05T20:30:11.079Z,2022-02-28T23:38:07.980Z,2023-03-02T06:06:33.529Z,2022-02-28T23:38:07.980Z,2023-03-05T20:30:11.079Z,2022-02-28T23:38:07.980Z,2023-02-06T23:45:12.289Z,
Ana Cecília,SSTV-NM21-0000000000000003582328,Samsung CE 2021 Nike-M2 UHD TV Smart TV,2022-02-28T23:38:07.980Z,2023-03-05T20:30:11.079Z,2022-02-28T23:38:07.980Z,2023-03-02T06:06:33.529Z,2022-08-05T00:09:19.388Z,2023-03-02T06:29:29.025Z,2022-08-05T00:09:19.388Z,2023-03-02T06:06:33.529Z,
Infantil,SSTV-NM21-0000000000000003582328,Samsung CE 2021 Nike-M2 UHD TV Smart TV,2022-02-28T23:38:07.980Z,2023-03-05T20:30:11.079Z,2022-02-28T23:38:07.980Z,2023-03-02T06:06:33.529Z,2023-02-20T02:53:08.870Z,2023-02-20T12:56:23.275Z,2023-02-20T02:53:37.700Z,2023-02-20T12:56:23.275Z,
Infantil,SSTV-KU20-0000000000000005794705,Samsung CE 2020 Kant-S2 UHD TV Smart TV,2021-04-07T22:45:08.736Z,2023-05-02T01:10:50.145Z,2021-05-02T17:02:01.228Z,2023-05-02T01:10:50.145Z,2022-05-07T03:34:43.780Z,2023-02-20T02:26:48.993Z,2022-05-07T03:35:12.280Z,2023-02-20T02:26:48.993Z,
pedro henrique,SSTV-KUE2-0000000000000002998462,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,2022-08-20T21:40:56.115Z,2023-04-13T04:06:38.878Z,2022-08-20T21:41:28.256Z,2023-04-13T04:03:28.967Z,2022-09-07T19:01:45.950Z,2023-01-13T14:55:42.284Z,2022-09-07T19:04:29.312Z,2023-01-13T14:55:42.284Z,
pedro henrique,NFCDCH-02-JC74V7KE142TR882ECA83VAC24KFLD,Chrome PC (Cadmium),2022-06-22T22:11:44.400Z,2022-12-08T02:43:34.339Z,2022-06-22T22:11:53.985Z,2022-10-09T07:00:20.406Z,2022-06-22T22:11:44.400Z,2022-12-08T02:43:34.339Z,2022-06-22T22:11:53.985Z,2022-06-23T22:55:17.108Z,
Infantil,NFCDCH-02-JC74V7KE142TR882ECA83VAC24KFLD,Chrome PC (Cadmium),2022-06-22T22:11:44.400Z,2022-12-08T02:43:34.339Z,2022-06-22T22:11:53.985Z,2022-10-09T07:00:20.406Z,2022-10-09T07:00:20.406Z,2022-10-09T07:00:20.406Z,2022-10-09T07:00:20.406Z,2022-10-09T07:00:20.406Z,
joão paulo,NFCDCH-LX-JH2N2JHTDWRRAQJRHET5KNRA014WY6,Netflix Chrome Linux (Cadmium) HTML 5,2022-08-21T00:15:53.718Z,2022-10-03T02:32:22.344Z,2022-08-21T00:16:12.532Z,2022-10-03T02:32:22.344Z,2022-08-21T00:15:53.718Z,2022-10-03T02:32:22.344Z,2022-08-21T00:16:12.532Z,2022-10-03T02:32:22.344Z,
Infantil,SSTV-KU20-0000000000000007282214,Samsung CE 2020 Kant-S2 UHD TV Smart TV,2021-04-30T04:32:47.993Z,2023-04-27T05:02:29.444Z,2021-05-02T18:22:56.040Z,2023-04-27T05:02:29.444Z,2022-05-13T02:49:18.923Z,2022-09-04T13:48:35.310Z,2022-05-13T02:52:12.308Z,2022-09-04T13:48:35.310Z,
joão paulo,SSTV-KU20-0000000000000007282214,Samsung CE 2020 Kant-S2 UHD TV Smart TV,2021-04-30T04:32:47.993Z,2023-04-27T05:02:29.444Z,2021-05-02T18:22:56.040Z,2023-04-27T05:02:29.444Z,2021-07-17T04:34:59.492Z,2022-07-23T06:51:45.947Z,2021-07-17T04:35:03.271Z,2022-07-23T06:28:48.872Z,
pedro henrique,SSTV-KU20-0000000000000007282214,Samsung CE 2020 Kant-S2 UHD TV Smart TV,2021-04-30T04:32:47.993Z,2023-04-27T05:02:29.444Z,2021-05-02T18:22:56.040Z,2023-04-27T05:02:29.444Z,2021-09-27T22:44:24.340Z,2022-07-03T19:27:35.592Z,2021-09-27T22:44:24.340Z,2022-07-03T19:27:35.592Z,
pedro henrique,NFCDCH-02-GTY82T94CG09TGT0G9DY4L13K00YWN,Chrome PC (Cadmium),2021-05-10T22:36:52.176Z,2022-06-02T22:58:44.591Z,2021-05-10T22:36:52.176Z,2022-05-26T00:16:19.916Z,2021-05-10T22:36:52.176Z,2022-06-02T22:58:44.591Z,2021-05-10T22:36:52.176Z,2022-05-26T00:16:19.916Z,
joão paulo,NFCDCH-02-HLN0TA862LHAK7NQH8P90CFNDXTV6X,Chrome PC (Cadmium),2021-11-08T02:48:03.388Z,2022-05-02T08:18:40.630Z,2021-11-08T02:48:03.388Z,2022-05-02T07:57:40.918Z,2021-11-08T02:48:03.388Z,2022-05-02T08:18:40.630Z,2021-11-08T02:48:03.388Z,2022-05-02T07:57:40.918Z,
joão paulo,NFCDCH-LX-GWH52ENQ7WMTHDP2JJY6JQQN53P5L3,Netflix Chrome Linux (Cadmium) HTML 5,2021-06-07T03:32:37.464Z,2022-01-13T13:48:30.028Z,2021-06-07T03:32:37.464Z,2022-01-13T13:48:30.028Z,2021-06-07T03:32:37.464Z,2022-01-13T13:48:30.028Z,2021-06-07T03:32:37.464Z,2022-01-13T13:48:30.028Z,
pedro henrique,NFANDROID1-PRV-P-L3-SAMSUSM-G975F-22589-0F1A2B1DDC793B418F7EDEC7B33900B5251A9E8A001D0A2813B42CF93473EDE85,Android DefaultWidevineL3Phone Android Phone,2021-11-17T20:52:02.689Z,2021-11-17T20:52:02.689Z,2021-11-17T20:52:02.689Z,2021-11-17T20:52:02.689Z,2021-11-17T20:52:02.689Z,2021-11-17T20:52:02.689Z,2021-11-17T20:52:02.689Z,2021-11-17T20:52:02.689Z,
Ana Cecília,LGTV20203=31006023216,LG DTV 2020 RTK K6Lp UHD TV Smart TV,2021-09-26T00:54:22.128Z,2021-09-27T02:21:22.116Z,2021-09-26T00:55:07.096Z,2021-09-27T02:21:22.116Z,2021-09-26T00:54:22.128Z,2021-09-27T02:21:22.116Z,2021-09-26T00:55:07.096Z,2021-09-27T02:21:22.116Z,
Ana Cecília,NFCDCH-02-GTY82T94CG09TGT0G9DY4L13K00YWN,Chrome PC (Cadmium),2021-05-10T22:36:52.176Z,2022-06-02T22:58:44.591Z,2021-05-10T22:36:52.176Z,2022-05-26T00:16:19.916Z,2021-08-17T23:37:26.731Z,2021-09-24T20:27:03.944Z,2021-08-17T23:37:26.731Z,2021-09-17T15:35:14.031Z,
joão paulo,NFCDCH-02-HD32A0Y3RWC9XQUA0F0M25GF21E19U,Chrome PC (Cadmium),2021-06-10T03:39:25.871Z,2021-08-05T05:14:41.801Z,2021-06-10T03:39:25.871Z,2021-08-05T04:51:21.276Z,2021-06-10T03:39:25.871Z,2021-08-05T05:14:41.801Z,2021-06-10T03:39:25.871Z,2021-08-05T04:51:21.276Z,
Ana Cecília,NFCDCH-02-H3WNDCNQWF4FPXY7GDY4KWPMQQA35W,Chrome PC (Cadmium),2021-05-05T15:52:44.356Z,2021-07-31T00:00:20.360Z,2021-05-05T15:52:44.356Z,2021-07-31T00:00:20.360Z,2021-05-05T15:52:44.356Z,2021-07-31T00:00:20.360Z,2021-05-05T15:52:44.356Z,2021-07-31T00:00:20.360Z,
Ana Cecília,NFCDCH-LX-GWH52ENQ7WMTHDP2JJY6JQQN53P5L3,Netflix Chrome Linux (Cadmium) HTML 5,2021-06-07T03:32:37.464Z,2022-01-13T13:48:30.028Z,2021-06-07T03:32:37.464Z,2022-01-13T13:48:30.028Z,2021-07-24T20:51:59.590Z,2021-07-24T20:51:59.590Z,,,
joão paulo,NFCDCH-02-GVRM48436KMLWJL5NTA0KTE79KXTQ1,Chrome PC (Cadmium),2021-04-26T06:48:23.337Z,2021-06-09T14:55:57.660Z,2021-05-03T21:04:42.012Z,2021-06-09T14:55:57.660Z,2021-04-26T06:48:23.337Z,2021-06-09T14:55:57.660Z,2021-05-03T21:04:42.012Z,2021-06-09T14:55:57.660Z,
joão paulo,NFPS4-001-D1J0Y4ZY068CN08TTJ9ULE12CM,Sony PS4,2021-06-03T21:04:19.979Z,2021-06-03T21:18:23.279Z,2021-06-03T21:04:19.979Z,2021-06-03T21:18:23.279Z,2021-06-03T21:04:19.979Z,2021-06-03T21:18:23.279Z,2021-06-03T21:04:19.979Z,2021-06-03T21:18:23.279Z,
pedro henrique,NFANDROID1-PRV-P-L3-SAMSUSM-G975F-8158-0F1A2B1DDC793B418F7EDEC7B33900B5251A9E8A001D0A2813B42CF93473EDE85,Android DefaultWidevineL3Phone Android Phone,2021-05-28T04:04:50.016Z,2021-05-28T04:14:21.443Z,2021-05-28T04:04:50.016Z,2021-05-28T04:14:21.443Z,2021-05-28T04:04:50.016Z,2021-05-28T04:14:21.443Z,2021-05-28T04:04:50.016Z,2021-05-28T04:14:21.443Z,
luciana,LGTV20122=21003063090,LG 2012 MTK Smart TV,2021-05-05T01:12:56.462Z,2021-05-06T01:06:16.158Z,2021-05-05T01:12:56.462Z,2021-05-06T01:06:16.158Z,2021-05-05T01:12:56.462Z,2021-05-06T01:06:16.158Z,2021-05-05T01:12:56.462Z,2021-05-06T01:06:16.158Z,
luciana,SSTV-NVT1-0000000000000008199222,Samsung Novatek DTV Smart TV,,,,,,,,,
luciana,GOOGCAP0010000000000000007042234,Google Chromecast V5 Streaming Stick,,,,,,,,,
luciana,GOOGEAR0010000000000000003200747,Google Chromecast V3 Streaming Stick,,,,,,,,,
luciana,NFCDCH-02-H86121G9N0GKQQ1U8LFA6RK63L7DV5,Chrome PC (Cadmium),,,,,,,,,
luciana,NFX360-01-433991544293,Microsoft Xbox 360,,,,,,,,,
luciana,NFCDCH-02-H04DUWE11UXT4XUGAV2TTHYF96461F,Chrome PC (Cadmium),,,,,,,,,
luciana,NFCDCH-LX-GW7LP1JV0U5NQDJ2R0VK8Y04WL6N75,Netflix Chrome Linux (Cadmium) HTML 5,,,,,,,,,
luciana,NFCDCH-LX-GTQ3RH35HYF76KW1AYL4YX35E08WNH,Netflix Chrome Linux (Cadmium) HTML 5,,,,,,,,,
luciana,NFCDCH-02-GRG4NC16JXH9MK085WEXAV1NF4DW0K,Chrome PC (Cadmium),,,,,,,,,
luciana,NFCDIE-03-GRDUC0NW6723X4KJKG0GGGWRHD3WLL,Edge OSS - Windows (Cadmium),,,,,,,,,
luciana,NFCDCH-LX-GQDAK4921D8K2RVUH5GEHCU9AD2QFY,Netflix Chrome Linux (Cadmium) HTML 5,,,,,,,,,
luciana,NFCDFF-LX-GQ5DA9P2584T6NWVMNDWR2KRFC1705,Netflix Linux Firefox Other,,,,,,,,,
luciana,NFCDOP-01-GQ4VE2GVTVP7CJJTQ7U76HGW1W6UHA,Netflix Opera Other,,,,,,,,,
luciana,NFCDOP-01-GA7ALMXKQYNYJDALNKK46GTC0GF2P7,Netflix Opera Other,,,,,,,,,
luciana,NFXONE-02-76J8Y0S6N8C5FK5NWM0N0FTAARNV04TEM7460PUE7JCG1V3F2YP,Microsoft Xbox One,,,,,,,,,
luciana,NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-023606433A3BAADE161C57CECA88B449A15F1EC5DE7A9A01751B072D795D4658D,DefaultWidevineAndroidPhone,,,,,,,,,
luciana,NFCDCH-02-GA13CKVA2712NTQ8T6PYPR4NA42DTK,Chrome PC (Cadmium),,,,,,,,,
luciana,NFCDCH-02-EDQY0KLJY1GMVAC4K34NYVDH7YVTN6,Chrome PC (Cadmium),,,,,,,,,
luciana,NFCDCH-02-G8MTKCH0LR15EFPEW5YX5GD1TFU19L,Chrome PC (Cadmium),,,,,,,,,
luciana,NFCDOP-01-FUPEHG9M25C4LV0FMLR3FQKJP8PULT,Netflix Opera Other,,,,,,,,,
luciana,NFCDCH-02-E0GKKVD2Q9KN1VKMUV09FX96LRJVJ5,Chrome PC (Cadmium),,,,,,,,,
luciana,NFCDCH-02-DXKPQ7M794PW3ATRJLAEH9UY7L3R56,Chrome PC (Cadmium),,,,,,,,,
luciana,NFCDOP-01-F77QN1C1H7XF8J2EC08YCT0FEUKKC3,Netflix Opera Other,,,,,,,,,
luciana,NFCDOP-01-F4T2N5RJX9ARH0049VPY0PR2P66YVY,Netflix Opera Other,,,,,,,,,
luciana,NFUWA-001-5F921DA4C2BD20F1B7C610A5A0CDA1F8ACF464B477C356E192D8CE7B31C99CCA213E90FDA68BE43F6B9F021294937E8C490E55B5F5965574BABD3560C21780E3,Netflix Windows App - Cadmium Windows Mobile,,,,,,,,,
luciana,NFCDOP-01-F2WLKKNN5A168VJ5231GEUPK9LFNYG,Netflix Opera Other,,,,,,,,,
luciana,NFCDOP-01-F2W61NLUYXR26UR34FKXDNTHHXYFXL,Netflix Opera Other,,,,,,,,,
luciana,NFCDOP-01-F2UP6R0WWQERHNLC6FEQC85MK7051K,Netflix Opera Other,,,,,,,,,
luciana,NFAPPL-02-IPHONE9=1-337FCE214DFB23F1C3F24816644FE8396B22A7160499D1DC7645D4599D978DEC,Apple iPhone 7 (CDMA),,,,,,,,,
luciana,NFCDOP-01-F1CFEM0P93R2PWCMR5WCUPA9DNKM5E,Netflix Opera Other,,,,,,,,,
luciana,NFCDOP-01-EWTL2VKPJUKJ0NNMMRFGGP8DTPN1Y4,Netflix Opera Other,,,,,,,,,
luciana,NFAPPL-02-IPHONE7=2-54BB0B8948F162D15D1AEFB04DAAC56C5D1D6034D613465F56482E4A660CB2ED,Apple iPhone 6,,,,,,,,,
luciana,NFCDCH-02-ETXK0QFC202EA08P4100Q8ELWG63HY,Chrome PC (Cadmium),,,,,,,,,
luciana,NFCDCH-02-EPWTQP30JWHCD6V2L2VW5QVWPT821T,Chrome PC (Cadmium),,,,,,,,,
luciana,NFUWA-001-1B70F4D585465015AE61AF24143DF122AB3C11AC11B3985896483F5B2CFB3B37,Netflix Windows App - Cadmium Windows Mobile,,,,,,,,,
luciana,NFCDCH-02-E7W7XPGETCXKKN0HJ88PWQ3EX73Q9T,Chrome PC (Cadmium),,,,,,,,,
luciana,NFCDCH-02-DKLWT7G3XYKG3MEYHTH1CCE78CPCE8,Chrome PC (Cadmium),,,,,,,,,
luciana,NFCDCH-02-E6Q8XGWM6TDWCMCHXLLP3KUJ4GRHAN,Chrome PC (Cadmium),,,,,,,,,
luciana,NFAPPL-02-IPHONE7=2-8FD69C062E3996DDA0B7404875872ED0D3481A0726357D61AE6FC0C197FF2B33,Apple iPhone 6,,,,,,,,,
luciana,PCTV000144==3C38E73E67F410BDACFB,Panasonic DTV 2014 sLD8A Smart TV,,,,,,,,,
luciana,NFCDCH-02-E5GMWMKGKNJ65PC5Q8EC4TFCQMAY37,Chrome PC (Cadmium),,,,,,,,,
luciana,NFCDCH-02-E1Z10KQLLDTJCJDCUE822KD38TR0TX,Chrome PC (Cadmium),,,,,,,,,
luciana,NFCDCH-02-E25U5F3EXUG4KEXG0D797FFJ3GCNUD,Chrome PC (Cadmium),,,,,,,,,
luciana,NFAPPL-02-IPHONE7=2-2374784076CCFB7437A57ADE65EC854FB6CDD342124A788F198A60AF15715BB5,Apple iPhone 6,,,,,,,,,
luciana,NFCDCH-02-DYKXN7UKV957EGT2FEE55G58JQUQ3E,Chrome PC (Cadmium),,,,,,,,,
luciana,NFCDCH-02-DNEYEZ63RAMWTX68RDMD7CQ5VQFH1C,Chrome PC (Cadmium),,,,,,,,,
luciana,NFAPPL-02-IPHONE7=2-9CFC45E519CCF0C141636B199650ABB0A3BB45B98C054BE973D864799C8F043A,Apple iPhone 6,,,,,,,,,
luciana,NFCDCH-02-DMED27E5KAA4LEUQNQ5HAG5DWAVTG7,Chrome PC (Cadmium),,,,,,,,,
luciana,NFCDCH-02-D9DQX7Q7F4E3E2E3JEWK19JJ2TCGPG,Chrome PC (Cadmium),,,,,,,,,
luciana,NFCDCH-02-DFRKC08UMML6YMW1ED04HQ46D5QNVN,Chrome PC (Cadmium),,,,,,,,,
luciana,NFUWA-001-DCD43ZRU2V1NNXP2Z78UQF5CJLP6XJ,Netflix Windows App - Cadmium Windows Mobile,,,,,,,,,
luciana,NFCDCH-02-DCD3QVR1UWJNF1A5F10TJQ6M0E5WPC,Chrome PC (Cadmium),,,,,,,,,
luciana,NFUWA-001-D2M2GM7WK5H0CP5AD7Y6J35XFPXUT0,Netflix Windows App - Cadmium Windows Mobile,,,,,,,,,
luciana,NFCDCH-02-CHL6A3E1JGQKD0C7T7Q155TX85NN6D,Chrome PC (Cadmium),,,,,,,,,
luciana,NFCDCH-02-D8NP0QW8MQLXKJXC5KNRH7EWUUNHKW,Chrome PC (Cadmium),,,,,,,,,
