Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:413:f800:b1a6:9b5:ad39:e41b,Espírito Santo,2023-04-25T01:38:10.386Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:413:f800:dc0f:8042:e35f:8402,Espírito Santo,2023-04-24T09:21:40.640Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:413:f800:dc0f:8042:e35f:8402,Espírito Santo,2023-04-24T01:24:37.939Z
NFCDCH-LX-JN0V2A7FYGPRLXD85EJ5JN8P2Y45FL,BR,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,2804:11e4:413:f800:cb02:9237:e0df:7d6d,Espírito Santo,2023-04-22T13:51:30.833Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:413:f800:d120:b3a4:da8f:3d92,Espírito Santo,2023-04-22T09:58:02.378Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:413:f800:d120:b3a4:da8f:3d92,Espírito Santo,2023-04-21T23:58:21.216Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:413:f800:13f:302f:5828:354b,Espírito Santo,2023-04-21T03:52:31.877Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:413:f800:7909:3d05:fe28:d7e4,Espírito Santo,2023-04-20T07:53:53.516Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:413:f800:7909:3d05:fe28:d7e4,Espírito Santo,2023-04-20T01:28:40.820Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:413:f800:c884:e9f7:6f9:5837,Espírito Santo,2023-04-19T05:02:56.883Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:413:f800:ecee:5197:918a:d4c0,Espírito Santo,2023-04-18T01:52:41.218Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:413:f800:79a8:695f:cc7d:9e9e,Espírito Santo,2023-04-17T22:58:45.889Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:413:f800:9518:1bd8:e21f:cc6a,Espírito Santo,2023-04-17T08:59:58.203Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:413:f800:9518:1bd8:e21f:cc6a,Espírito Santo,2023-04-17T02:56:58.785Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:413:f800:a053:ea17:5029:b37a,Espírito Santo,2023-04-16T21:53:51.363Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),177.91.219.179,Espírito Santo,2023-04-16T19:42:25.924Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:413:f800:fda8:853b:36b2:5b4e,Espírito Santo,2023-04-16T14:14:22.150Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:413:f800:90a:aa8c:9ac0:9952,Espírito Santo,2023-04-16T05:08:41.932Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:413:f800:90a:aa8c:9ac0:9952,Espírito Santo,2023-04-15T22:52:50.413Z
SSTV-KU20-0000000000000005794705,BR,Samsung CE 2020 Kant-S2 UHD TV Smart TV,Samsung CE 2020 Kant-S2 UHD TV Smart TV,177.91.219.179,Espírito Santo,2023-04-15T17:28:19.027Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:413:f800:556f:96cc:ea9f:2d6f,Espírito Santo,2023-04-15T11:56:22.924Z
SSTV-KU20-0000000000000007282214,BR,Samsung CE 2020 Kant-S2 UHD TV Smart TV,Samsung CE 2020 Kant-S2 UHD TV Smart TV,177.91.219.179,Espírito Santo,2023-04-15T04:59:57.095Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:413:f800:556f:96cc:ea9f:2d6f,Espírito Santo,2023-04-15T02:33:38.359Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:413:f800:88c9:9a00:7b0b:b835,Espírito Santo,2023-04-14T19:07:49.924Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:413:f800:946b:a896:aea8:77b5,Espírito Santo,2023-04-14T01:52:14.263Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:413:f800:3d63:e5c7:4af5:69c0,Espírito Santo,2023-04-14T01:12:11.291Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:413:f800:4476:130d:868b:f610,Espírito Santo,2023-04-13T21:05:46.085Z
SSTV-KUE2-0000000000000002998462,BR,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,2804:14d:ae84:8194:512f:af7e:12b3:ef51,Espírito Santo,2023-04-13T13:19:16.149Z
SSTV-KUE2-0000000000000002998462,BR,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,2804:14d:ae84:8194:512f:af7e:12b3:ef51,Espírito Santo,2023-04-13T02:33:41.500Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:14d:ae84:8194:18b1:e5a1:4b10:e82e,Espírito Santo,2023-04-13T02:30:41.082Z
SSTV-KU20-0000000000000007282214,BR,Samsung CE 2020 Kant-S2 UHD TV Smart TV,Samsung CE 2020 Kant-S2 UHD TV Smart TV,177.91.213.145,Espírito Santo,2023-04-13T02:29:18.941Z
SSTV-KU20-0000000000000005794705,BR,Samsung CE 2020 Kant-S2 UHD TV Smart TV,Samsung CE 2020 Kant-S2 UHD TV Smart TV,177.91.213.145,Espírito Santo,2023-04-13T01:14:48.371Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:14d:ae84:8194:9da3:aed8:1559:78f1,Espírito Santo,2023-04-12T16:09:43.179Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),177.91.213.145,Espírito Santo,2023-04-12T02:33:33.010Z
SSTV-KU20-0000000000000005794705,BR,Samsung CE 2020 Kant-S2 UHD TV Smart TV,Samsung CE 2020 Kant-S2 UHD TV Smart TV,177.91.213.145,Espírito Santo,2023-04-09T21:34:25.819Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),177.91.213.145,Espírito Santo,2023-04-09T05:02:15.780Z
SSTV-NVT5-0000000000000030699230,BR,Samsung 2015 NT14M DTV Smart TV,Samsung 2015 NT14M DTV Smart TV,177.91.221.127,Espírito Santo,2023-04-09T03:51:17.742Z
SSTV-NVT5-0000000000000030699230,BR,Samsung 2015 NT14M DTV Smart TV,Samsung 2015 NT14M DTV Smart TV,177.91.219.13,Espírito Santo,2023-04-08T04:05:41.086Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:b152:361c:147e:9f6c,Espírito Santo,2023-04-08T03:20:41.110Z
SSTV-KU20-0000000000000005794705,BR,Samsung CE 2020 Kant-S2 UHD TV Smart TV,Samsung CE 2020 Kant-S2 UHD TV Smart TV,177.91.217.219,Espírito Santo,2023-04-08T01:47:32.948Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:35b0:7160:9d59:a84b,Espírito Santo,2023-04-08T00:57:22.944Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:c084:704d:8ee6:8ffd,Espírito Santo,2023-04-07T21:42:28.402Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:4df8:2a27:aab2:7136,Espírito Santo,2023-04-07T13:16:03.386Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:7d85:1765:2d3:d645,Espírito Santo,2023-04-07T13:12:11.432Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),177.91.217.219,Espírito Santo,2023-04-07T12:57:18.099Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:f5d0:5fbb:4670:8852,Espírito Santo,2023-04-07T03:46:21.039Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:f0fa:756a:d165:dff5,Espírito Santo,2023-04-07T03:12:44.593Z
SSTV-KU20-0000000000000007282214,BR,Samsung CE 2020 Kant-S2 UHD TV Smart TV,Samsung CE 2020 Kant-S2 UHD TV Smart TV,177.91.217.219,Espírito Santo,2023-04-07T02:57:48.859Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:54c4:e3bc:ca34:8645,Espírito Santo,2023-04-07T00:34:57.612Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:6851:eb7a:483d:ede1,Espírito Santo,2023-04-06T23:05:33.074Z
SSTV-KUE2-0000000000000002998462,BR,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,2804:14d:ae84:8194:11c2:d9b4:683a:f8d2,Espírito Santo,2023-04-06T15:13:41.745Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:b5f1:44ba:cd45:675c,Espírito Santo,2023-04-06T01:38:17.079Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:cec:e9aa:e699:cd5d,Espírito Santo,2023-04-06T01:25:41.653Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),177.91.217.219,Espírito Santo,2023-04-05T21:00:21.198Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:cc3c:aa1:5800:99f9,Espírito Santo,2023-04-05T20:33:35.874Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:78e4:b0bd:9586:442c,Espírito Santo,2023-04-05T03:52:23.540Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:78e4:b0bd:9586:442c,Espírito Santo,2023-04-04T21:42:27.915Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),177.91.217.219,Espírito Santo,2023-04-04T21:37:34.125Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:64cf:f713:a83b:a971,Espírito Santo,2023-04-04T21:13:42.957Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:502:e5ed:fe08:50a2,Espírito Santo,2023-04-04T01:09:14.731Z
NFAPPL-02-IPHONE11=8-337FCE214DFB23F1C3F24816644FE8396B22A7160499D1DC7645D4599D978DEC,BR,Apple iPhone XR,Apple iPhone XR,177.91.219.13,Espírito Santo,2023-04-03T15:25:49.904Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:60ec:6362:7172:e0a6,Espírito Santo,2023-04-03T09:26:47.746Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:60ec:6362:7172:e0a6,Espírito Santo,2023-04-03T01:10:57.161Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:9d63:ac61:a911:b329,Espírito Santo,2023-04-02T20:27:30.998Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),177.91.217.219,Espírito Santo,2023-04-02T13:27:43.778Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:b119:d293:37fc:c0f6,Espírito Santo,2023-04-02T01:10:55.601Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:83c:1f4d:b687:3925,Espírito Santo,2023-03-31T11:10:28.793Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:83c:1f4d:b687:3925,Espírito Santo,2023-03-31T04:13:44.160Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:7010:400c:c11f:5ea9,Espírito Santo,2023-03-30T02:13:27.394Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:b87b:936d:280e:cad,Espírito Santo,2023-03-29T21:49:24.989Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:b87b:936d:280e:cad,Espírito Santo,2023-03-29T03:22:45.420Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:4d50:3739:6190:4704,Espírito Santo,2023-03-28T23:31:02.545Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:852c:38c7:4f1b:276f,Espírito Santo,2023-03-28T11:09:20.141Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:852c:38c7:4f1b:276f,Espírito Santo,2023-03-28T03:15:43.792Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:f555:fd57:aa7e:8c69,Espírito Santo,2023-03-27T01:58:57.515Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:7185:821d:54df:bbfd,Espírito Santo,2023-03-27T01:36:28.804Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:4820:a59f:5470:f075,Espírito Santo,2023-03-27T00:52:32.263Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:701b:f23e:9c09:ea31,Espírito Santo,2023-03-26T20:28:24.409Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),177.91.217.219,Espírito Santo,2023-03-25T22:48:19.210Z
NFAPPL-02-IPHONE11=8-337FCE214DFB23F1C3F24816644FE8396B22A7160499D1DC7645D4599D978DEC,BR,Apple iPhone XR,Apple iPhone XR,177.91.219.13,Espírito Santo,2023-03-25T13:51:42.320Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:d4ef:85e:8c60:4c8b,Espírito Santo,2023-03-24T02:24:57.154Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:e9ea:d61a:810f:16d1,Espírito Santo,2023-03-23T11:10:09.315Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:e9ea:d61a:810f:16d1,Espírito Santo,2023-03-23T05:03:15.468Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:807:3300:500b:d673,Espírito Santo,2023-03-23T04:28:13.389Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:5444:5dd4:a915:9193,Espírito Santo,2023-03-22T02:34:29.100Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:4dcb:2d7:709e:3b37,Espírito Santo,2023-03-21T05:44:39.464Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:4188:b2bf:b5b1:71c8,Espírito Santo,2023-03-21T01:35:42.446Z
SSTV-KUE2-0000000000000002998462,BR,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,2804:14d:ae84:8194:9d8e:922a:e3fe:d629,Espírito Santo,2023-03-20T02:49:09.995Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:3852:2251:1c51:d6e,Espírito Santo,2023-03-19T21:36:07.842Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:1fc:eeb0:e2c9:ee9a,Espírito Santo,2023-03-19T04:10:37.355Z
SSTV-KUE2-0000000000000002998462,BR,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,2804:14d:ae84:8194:9d8e:922a:e3fe:d629,Espírito Santo,2023-03-18T23:33:34.787Z
SSTV-KUE2-0000000000000002998462,BR,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,2804:14d:ae84:8194:d2c2:4eff:fec9:162e,Espírito Santo,2023-03-18T23:28:35.935Z
SSTV-KUE2-0000000000000002998462,BR,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,2804:14d:ae84:8194:9486:32dc:e080:e465,Espírito Santo,2023-03-18T02:01:03.636Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:ed70:ab66:cb54:ba34,Espírito Santo,2023-03-17T12:20:56.600Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:1d76:ec30:77a:d27d,Espírito Santo,2023-03-17T04:33:49.195Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:24db:429:79c3:54ee,Espírito Santo,2023-03-16T01:27:06.484Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:b484:29da:55fe:fccc,Espírito Santo,2023-03-14T02:20:04.615Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:452a:db2:f265:436b,Espírito Santo,2023-03-10T02:54:40.920Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),177.91.217.219,Espírito Santo,2023-03-10T01:05:12.454Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:7c93:1b38:12ae:7d6a,Espírito Santo,2023-03-09T14:57:59.980Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:882a:72ac:5372:dcab,Espírito Santo,2023-03-09T14:27:39.232Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:100d:5cbf:41e1:db47,Espírito Santo,2023-03-09T11:54:01.435Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:100d:5cbf:41e1:db47,Espírito Santo,2023-03-09T03:28:14.984Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),177.91.217.219,Espírito Santo,2023-03-08T23:37:47.240Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:e807:43c0:d537:2610,Espírito Santo,2023-03-08T14:16:56.563Z
NFCDCH-02-J7M07DN6415KR54A8F9KRH48X72FAV,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:11e4:409:cf00:791a:66e8:b7b7:7c31,Espírito Santo,2023-03-08T03:00:23.679Z
